Conid,Date,Symbol,NAME,BOG_TH,SOG_TH,Exchange,alpha,beta,R11,R12,R22
11054,29/04/2018,PG,PROCTER & GAMBLE CO/THE,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
13272,29/04/2018,UNH,UNITEDHEALTH GROUP INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
13014,29/04/2018,T,AT&T INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
8894,29/04/2018,KO,COCA-COLA CO/THE,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
49588376,29/04/2018,PM,PHILIP MORRIS INTERNATIONAL,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
9939,29/04/2018,MU,MICRON TECHNOLOGY INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
38685693,29/04/2018,MA,MASTERCARD INC - A,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
267748,29/04/2018,CMCSA,COMCAST CORP-CLASS A,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
4762,29/04/2018,BA,BOEING CO/THE,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
8809,29/04/2018,PFE,PFIZER INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
8314,29/04/2018,IBM,INTL BUSINESS MACHINES CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
4457282,29/04/2018,NVDA,NVIDIA CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
11017,29/04/2018,PEP,PEPSICO INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
10109,29/04/2018,PYPL,PAYPAL HOLDINGS INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
43661924,29/04/2018,AMAT,APPLIED MATERIALS INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
269753,29/04/2018,GILD,GILEAD SCIENCES INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
273544,29/04/2018,QCOM,QUALCOMM INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
45127747,29/04/2018,VR,VALIDUS HOLDINGS LTD,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
13096,29/04/2018,TXN,TEXAS INSTRUMENTS INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
10291,29/04/2018,NKE,NIKE INC -CL B,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
15124833,29/04/2018,NFLX,NETFLIX INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
9769,29/04/2018,MO,ALTRIA GROUP INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
9408,29/04/2018,MCD,MCDONALD'S CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
12200,29/04/2018,SLB,SCHLUMBERGER LTD,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
8511,29/04/2018,MS,MORGAN STANLEY,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
181387075,29/04/2018,MDT,MEDTRONIC PLC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
269581229,29/04/2018,MULE,MULESOFT INC  -A,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
267455,29/04/2018,CELG,CELGENE CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
9720,29/04/2018,MMM,3M CO,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
120643512,29/04/2018,ABT,ABBOTT LABORATORIES,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
13364,29/04/2018,UTX,UNITED TECHNOLOGIES CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
5111,29/04/2018,BMY,BRISTOL-MYERS SQUIBB CO,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
9199,29/04/2018,LOW,LOWE'S COS INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
148782724,29/04/2018,SCHW,SCHWAB (CHARLES) CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
44061835,29/04/2018,XL,XL GROUP LTD,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
2585769,29/04/2018,CVS,CVS HEALTH CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
4721,29/04/2018,AXP,AMERICAN EXPRESS CO,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
13284,29/04/2018,UNP,UNION PACIFIC CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
86033355,29/04/2018,COP,CONOCOPHILLIPS,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
41692402,29/04/2018,NWL,NEWELL BRANDS INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
178634687,29/04/2018,WBA,WALGREENS BOOTS ALLIANCE INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
9160,29/04/2018,LLY,ELI LILLY & CO,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
5437,29/04/2018,CAT,CATERPILLAR INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
14025,29/04/2018,FL,FOOT LOCKER INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
113599091,29/04/2018,SKX,SKECHERS USA INC-CL A,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
4627828,29/04/2018,GS,GOLDMAN SACHS GROUP INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
295297495,29/04/2018,WLL,WHITING PETROLEUM CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
270188,29/04/2018,USB,US BANCORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
2586035,29/04/2018,PCG,P G & E CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
212671971,29/04/2018,SQ,SQUARE INC - A,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
9939,29/04/2018,FOXA,TWENTY-FIRST CENTURY FOX-A,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
120643511,29/04/2018,APC,ANADARKO PETROLEUM CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
274105,29/04/2018,SBUX,STARBUCKS CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
29624264,29/04/2018,CRM,SALESFORCE.COM INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
4350,29/04/2018,HON,HONEYWELL INTERNATIONAL INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
4728003,29/04/2018,DAL,DELTA AIR LINES INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
6231002,29/04/2018,UPS,UNITED PARCEL SERVICE-CL B,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
240495576,29/04/2018,HAL,HALLIBURTON CO,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
266145,29/04/2018,AMGN,AMGEN INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
41951960,29/04/2018,BK,BANK OF NEW YORK MELLON CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
269120,29/04/2018,ATVI,ACTIVISION BLIZZARD INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
265768,29/04/2018,ADBE,ADOBE SYSTEMS INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
272997,29/04/2018,COST,COSTCO WHOLESALE CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
199169586,29/04/2018,KHC,KRAFT HEINZ CO/THE,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
59085966,29/04/2018,TWX,TIME WARNER INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
6248722,29/04/2018,MET,METLIFE INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
10880,29/04/2018,OXY,OCCIDENTAL PETROLEUM CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
9282,29/04/2018,CSX,CSX CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
10523297,29/04/2018,MON,MONSANTO CO,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
6437,29/04/2018,TGT,TARGET CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
8854,29/04/2018,DKS,DICK'S SPORTING GOODS INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
222038333,29/04/2018,AVXS,AVEXIS INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
212671971,29/04/2018,RSPP,RSP PERMIAN INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
9091,29/04/2018,DVN,DEVON ENERGY CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
12814,29/04/2018,TJX,TJX COMPANIES INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
137867351,29/04/2018,EVHC,ENVISION HEALTHCARE CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
44963008,29/04/2018,MIC,MACQUARIE INFRASTRUCTURE COR,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
53747825,29/04/2018,SIG,SIGNET JEWELERS LTD,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
100430853,29/04/2018,CCL,CARNIVAL CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
13960,29/04/2018,X,UNITED STATES STEEL CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
11899,29/04/2018,EIX,EDISON INTERNATIONAL,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
79498203,29/04/2018,UAL,UNITED CONTINENTAL HOLDINGS,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
39118796,29/04/2018,HES,HESS CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
6890,29/04/2018,EOG,EOG RESOURCES INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
5749,29/04/2018,CL,COLGATE-PALMOLIVE CO,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
6842,29/04/2018,EMR,EMERSON ELECTRIC CO,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
49921110,29/04/2018,MPC,MARATHON PETROLEUM CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
43196246,29/04/2018,KS,KAPSTONE PAPER AND PACKAGING,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
4392,29/04/2018,BBY,BEST BUY CO INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
67889930,29/04/2018,ACN,ACCENTURE PLC-CL A,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
13101,29/04/2018,BBT,BB&T CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
754442,29/04/2018,GM,GENERAL MOTORS CO,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
134280621,29/04/2018,TMUS,T-MOBILE US INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
61319701,29/04/2018,AIG,AMERICAN INTERNATIONAL GROUP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
136370275,29/04/2018,ICE,INTERCONTINENTAL EXCHANGE IN,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
137494497,29/04/2018,APA,APACHE CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
4750,29/04/2018,NBL,NOBLE ENERGY INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
125005718,29/04/2018,LB,L BRANDS INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
47550606,29/04/2018,AAL,AMERICAN AIRLINES GROUP INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
45642839,29/04/2018,VMW,VMWARE INC-CLASS A,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
70236214,29/04/2018,LVS,LAS VEGAS SANDS CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
83975037,29/04/2018,EBAY,EBAY INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
6442,29/04/2018,DHR,DANAHER CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
273939,29/04/2018,ROST,ROSS STORES INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
12869,29/04/2018,TMO,THERMO FISHER SCIENTIFIC INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
98542026,29/04/2018,TRIP,TRIPADVISOR INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
4596077,29/04/2018,BAX,BAXTER INTERNATIONAL INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
5552,29/04/2018,NFX,NEWFIELD EXPLORATION CO,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
110176011,29/04/2018,DUK,DUKE ENERGY CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
75960201,29/04/2018,NEE,NEXTERA ENERGY INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
33175911,29/04/2018,SO,SOUTHERN CO/THE,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
1448477,29/04/2018,EL,ESTEE LAUDER COMPANIES-CL A,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
90376714,29/04/2018,SYY,SYSCO CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
196986496,29/04/2018,MNST,MONSTER BEVERAGE CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
1035459,29/04/2018,DVA,DAVITA INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
75961319,29/04/2018,MDLZ,MONDELEZ INTERNATIONAL INC-A,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
10517,29/04/2018,PE,PARSLEY ENERGY INC-CLASS A,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
9705,29/04/2018,MMC,MARSH & MCLENNAN COS,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
6327,29/04/2018,D,DOMINION ENERGY INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
45602025,29/04/2018,LUV,SOUTHWEST AIRLINES CO,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
6478095,29/04/2018,HLT,HILTON WORLDWIDE HOLDINGS IN,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
292491487,29/04/2018,TPR,TAPESTRY INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
276222,29/04/2018,NOV,NATIONAL OILWELL VARCO INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
12581,29/04/2018,SYF,SYNCHRONY FINANCIAL,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
4661,29/04/2018,ADP,AUTOMATIC DATA PROCESSING,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
9560,29/04/2018,MGM,MGM RESORTS INTERNATIONAL,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
267547,29/04/2018,ADM,ARCHER-DANIELS-MIDLAND CO,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
262072228,29/04/2018,VIAB,VIACOM INC-CLASS B,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
274499,29/04/2018,JCI,JOHNSON CONTROLS INTERNATION,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
3206042,29/04/2018,YUM,YUM! BRANDS INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
9541678,29/04/2018,LEN,LENNAR CORP-A,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
181150075,29/04/2018,OA,ORBITAL ATK INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
13497,29/04/2018,VLO,VALERO ENERGY CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
5980,29/04/2018,CPB,CAMPBELL SOUP CO,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
30351217,29/04/2018,MYL,MYLAN NV,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
252066451,29/04/2018,WDC,WESTERN DIGITAL CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
85076790,29/04/2018,HCA,HCA HEALTHCARE INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
37083548,29/04/2018,CBS,CBS CORP-CLASS B NON VOTING,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
7616,29/04/2018,GIS,GENERAL MILLS INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
4815747,29/04/2018,CFG,CITIZENS FINANCIAL GROUP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
105669270,29/04/2018,PSX,PHILLIPS 66,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
37083557,29/04/2018,STI,SUNTRUST BANKS INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
11240,29/04/2018,PNC,PNC FINANCIAL SERVICES GROUP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
221033377,29/04/2018,AVGO,BROADCOM INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
204429726,29/04/2018,NLSN,NIELSEN HOLDINGS PLC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
272992,29/04/2018,PCAR,PACCAR INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
257944570,29/04/2018,VOYA,VOYA FINANCIAL INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
4211,29/04/2018,AEP,AMERICAN ELECTRIC POWER,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
13440,29/04/2018,VFC,VF CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
13325,29/04/2018,USG,USG CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
281316445,29/04/2018,BHGE,BAKER HUGHES A GE CO,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
45161769,29/04/2018,ZTS,ZOETIS INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
33175911,29/04/2018,HUN,HUNTSMAN CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
44652220,29/04/2018,DFS,DISCOVER FINANCIAL SERVICES,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
7765,29/04/2018,GPS,GAP INC/THE,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
274385,29/04/2018,PEG,PUBLIC SERVICE ENTERPRISE GP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
52424577,29/04/2018,AXTA,AXALTA COATING SYSTEMS LTD,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
7496,29/04/2018,GD,GENERAL DYNAMICS CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
4430948,29/04/2018,SYK,STRYKER CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
5019164,29/04/2018,WSM,WILLIAMS-SONOMA INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
8908,29/04/2018,PGR,PROGRESSIVE CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
209430556,29/04/2018,BEN,FRANKLIN RESOURCES INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
8130,29/04/2018,HRB,H&R BLOCK INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
175833028,29/04/2018,ES,EVERSOURCE ENERGY,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
10188791,29/04/2018,NRG,NRG ENERGY INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
43150617,29/04/2018,TRV,TRAVELERS COS INC/THE,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
7765,29/04/2018,FAST,FASTENAL CO,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
267475,29/04/2018,CERN,CERNER CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
611191,29/04/2018,LMT,LOCKHEED MARTIN CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
4728759,29/04/2018,CTSH,COGNIZANT TECH SOLUTIONS-A,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
5702,29/04/2018,CI,CIGNA CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
9252,29/04/2018,L,LOEWS CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
76915240,29/04/2018,KSS,KOHLS CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
118017869,29/04/2018,ETN,EATON CORP PLC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
11005,29/04/2018,DHI,DR HORTON INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
49388062,29/04/2018,DLTR,DOLLAR TREE INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
10811,29/04/2018,OMC,OMNICOM GROUP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
236074120,29/04/2018,ZION,ZIONS BANCORPORATION,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
249963585,29/04/2018,PLD,PROLOGIS INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
6691,29/04/2018,ED,CONSOLIDATED EDISON INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
